node_id,asset_label,latitude,longitude
Virtual_Node_001,75 O Avfart Hammarby sjöstad - avfart Sickla (Hammarbytunneln) - Virtual Sensor,59.30922641901558,18.113791135774047
Virtual_Node_002,E20 O Trafikplats Värtan (mot Lidingö) - Virtual Sensor,59.40141428902559,18.148022051990516
Virtual_Node_003,E4/E20 S Karlberg (163) – Pampas (162) - Virtual Sensor,59.366419030689826,18.146017284853023
Virtual_Node_004,E45 Järntorget - Centrum - Virtual Sensor,59.34508535747153,18.124575109171523
Virtual_Node_005,E4 N Sörentorp (170) - Kista (171) - Virtual Sensor,59.274262982470795,18.097006329230858
Virtual_Node_006,Nord-Sydaxeln S Infart Söderledstunneln - Avfart Folkungatan - Virtual Sensor,59.2742591232538,17.98542799299901
Virtual_Node_007,75 V Utfart Årstatunneln - Nyboda (Årstalänken) - Virtual Sensor,59.258593377946916,18.00092574281892
Virtual_Node_008,E4/E20 S Salem (145) - Hallinge - Virtual Sensor,59.387888183323994,18.148310837705417
Virtual_Node_009,E4 N Norrtull (164) - Haga Södra (165) - Virtual Sensor,59.345478401878914,18.089885811931918
Virtual_Node_010,Påfart från Sicklarondellen - Virtual Sensor,59.36259161244737,17.970439410323326
Virtual_Node_011,E18 V Kista (Uppsalavägen S till Kymlingelänken) - Virtual Sensor,59.252593519087334,17.988894308573208
Virtual_Node_012,Albanotunneln - Virtual Sensor,59.40448557634592,18.10130035382161
Virtual_Node_013,Åbro - Kallebäck - Virtual Sensor,59.38249082252807,17.969612316769243
Virtual_Node_014,E4 S Trafikplats Glädjen - Virtual Sensor,59.28327425770853,18.0007616102835
Virtual_Node_015,75 O Infart Södra länken - avfart Huddingevägen (Hammarbytunneln) - Virtual Sensor,59.27839199475314,18.078346757873316
Virtual_Node_016,Nord-Sydaxeln N Johanneshovsbron - Virtual Sensor,59.278644721576555,18.10697903953854
Virtual_Node_017,E4/E20 N Lilla Essingen (159) - Fredhäll (160) - Virtual Sensor,59.297978758873526,18.09899225190052
Virtual_Node_018,75 V Avfart Hammarby sjöstad - avfart Nynäsvägen (Årstatunneln) - Virtual Sensor,59.33326102906116,18.013453861892113
Virtual_Node_019,Pampas (162) - Fredhäll (160) - Virtual Sensor,59.318411202982745,18.11103584426951
Virtual_Node_020,E4 N Viby - Virtual Sensor,59.29589666243169,18.01604981749936
Virtual_Node_021,Komettunneln - Virtual Sensor,59.34719646315558,18.033679939631853
Virtual_Node_022,Koppartunneln - Virtual Sensor,59.27161901770433,18.117898281023606
Virtual_Node_023,E4 N Stora Väsby - Virtual Sensor,59.29604314376564,18.098526579809445
Virtual_Node_024,E18 O Ärvinge (159) - Kista (160) - Virtual Sensor,59.307917894926995,18.138444682098836
Virtual_Node_025,73 N Skräddartunneln - Virtual Sensor,59.32227119747473,18.10012257846007
Virtual_Node_026,Nord-Sydaxeln N Påfart Götgatan - Ufart Söderledstunneln - Virtual Sensor,59.374928153822886,18.082261720667095
Virtual_Node_027,Karolinertunneln - Virtual Sensor,59.28124780514534,17.987334953565618
Virtual_Node_028,E4/E20 N Trafikplats Karlberg Norra - Virtual Sensor,59.33157751014618,18.042143160611886
